date,fixture_datetime_utc,fixture_timestamp,league,league_id,season,fixture_id,status,home_team,home_team_id,away_team,away_team_id,country,fixture_status_short,fixture_status_long,fixture_status_elapsed,goals_home,goals_away,score_fulltime_home,score_fulltime_away,score_halftime_home,score_halftime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away,home_xg_for,home_xg_against,away_xg_for,away_xg_against,home_sot_for,away_sot_for,home_big_for,away_big_for,home_motivation,away_motivation,home_absences,away_absences,today_pipeline_fetched_at,league_coverage_class,league_has_odds_coverage,league_has_fixture_stats_coverage,league_has_injuries_coverage,league_has_lineups_coverage,league_has_predictions_coverage,league_coverage_rich_flag,league_data_reliability_score,league_coverage_source_status,league_coverage_note,home_recent_matches,away_recent_matches,home_form_pts,away_form_pts,home_goals_for_pg,away_goals_for_pg,home_goals_against_pg,away_goals_against_pg,home_scored_rate,away_scored_rate,home_clean_sheet_rate,away_clean_sheet_rate,home_btts_rate,away_btts_rate,home_over15_rate,away_over15_rate,home_over25_rate,away_over25_rate,home_stats_season_used,away_stats_season_used,data_enrichment_level,home_recent_stats_matches_requested,home_recent_stats_matches_used,home_recent_stats_coverage_ratio,home_recent_stats_available_flag,home_recent_shots_for_pg,home_recent_shots_against_pg,home_recent_sot_for_pg,home_recent_sot_against_pg,home_recent_possession_pct,home_recent_corners_for_pg,home_recent_corners_against_pg,home_recent_fouls_pg,home_recent_yellow_pg,home_recent_offsides_pg,home_recent_blocked_shots_pg,away_recent_stats_matches_requested,away_recent_stats_matches_used,away_recent_stats_coverage_ratio,away_recent_stats_available_flag,away_recent_shots_for_pg,away_recent_shots_against_pg,away_recent_sot_for_pg,away_recent_sot_against_pg,away_recent_possession_pct,away_recent_corners_for_pg,away_recent_corners_against_pg,away_recent_fouls_pg,away_recent_yellow_pg,away_recent_offsides_pg,away_recent_blocked_shots_pg,recent_stats_quality_flag,recent_fixture_statistics_updated_at,home_injuries_count,away_injuries_count,home_injuries_available_flag,away_injuries_available_flag,home_absence_risk_score,away_absence_risk_score,home_injuries_coverage_flag,away_injuries_coverage_flag,home_absence_severity_flag,away_absence_severity_flag,injuries_quality_flag,injuries_availability_updated_at,home_lineup_available_flag,away_lineup_available_flag,home_lineup_known_starters_count,away_lineup_known_starters_count,home_lineup_bench_known_flag,away_lineup_bench_known_flag,home_lineup_attacker_count,away_lineup_attacker_count,home_lineup_defender_count,away_lineup_defender_count,home_lineup_midfielder_count,away_lineup_midfielder_count,home_lineup_goalkeeper_known_flag,away_lineup_goalkeeper_known_flag,home_lineup_attack_continuity_score,away_lineup_attack_continuity_score,home_lineup_defense_continuity_score,away_lineup_defense_continuity_score,lineup_confirmation_score,lineup_uncertainty_penalty,lineup_activation_window_minutes,lineup_minutes_to_kickoff,lineup_timing_eligible_flag,lineup_structural_confidence_flag,home_lineup_quality_flag,away_lineup_quality_flag,lineup_quality_flag,lineup_activation_state,fixture_lineups_updated_at,home_rank,home_points,home_goals_diff,home_played,home_table_goals_for,home_table_goals_against,home_urgency_score,away_rank,away_points,away_goals_diff,away_played,away_table_goals_for,away_table_goals_against,away_urgency_score,league_team_count,standings_context_updated_at,odds_1_home_v3,odds_1_draw_v3,odds_1_away_v3,odds_btts_yes_v3,odds_btts_no_v3,odds_over_1_5_v3,odds_under_1_5_v3,odds_over_2_5_v3,odds_under_2_5_v3,odds_over_3_5_v3,odds_under_3_5_v3,odds_dc_1x_v3,odds_dc_x2_v3,odds_dc_12_v3,odds_home_dnb_v3,odds_away_dnb_v3,odds_bookmakers_count_v3,odds_market_count_v3,odds_values_count_v3,imp_1_home,imp_1_draw,imp_1_away,imp_btts_yes,imp_btts_no,imp_over_1_5,imp_under_1_5,imp_over_2_5,imp_under_2_5,imp_over_3_5,imp_under_3_5,imp_dc_1x,imp_dc_x2,imp_dc_12,imp_home_dnb,imp_away_dnb,odds_context_v3_updated_at,odds_context_v3_status,is_two_leg_tie,tie_context_status,first_leg_fixture_id,first_leg_home_goals,first_leg_away_goals,tie_home_agg_before,tie_away_agg_before,tie_home_delta,tie_away_delta,home_trailing_in_tie,away_trailing_in_tie,tie_level_before_second_leg,tie_state_label,odds_imp_over15,odds_imp_over25,odds_imp_under35,odds_imp_btts_yes,odds_imp_home_win,odds_imp_draw,odds_imp_away_win,odds_imp_home_dnb,odds_imp_away_dnb,odds_market_support_count,odds_bookmaker_support_count,odds_dispersion_score,odds_confidence_adjustment_score,odds_structure_coherence_flag,odds_total_ladder_shape,odds_goal_expectation_band,odds_side_fragility_flag,odds_btts_support_flag,odds_over25_support_flag,odds_over15_support_flag,odds_under35_support_flag,odds_market_translation_hint,odds_line_aggression_flag,odds_structure_depth_status,odds_structure_depth_error,odds_structure_depth_updated_at,results_last_refresh_at
2026-05-19,2026-05-19T19:00:00+01:00,1779213600,Catarinense U20,1076,2026,1539810,NS,Barra SC U20,23321,Concórdia U20,18329,Brazil,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-19T10:47:59.546121+00:00,COVERAGE_UNKNOWN,,,,,,0,1.0,COVERAGE_NOT_LOADED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-19,2026-05-19T19:00:00+01:00,1779213600,Serie B,136,2025,1544951,NS,Monza,1579,Juve Stabia,863,Italy,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-19T10:47:59.546126+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.625,1.25,1.5,1.375,0.875,1.25,0.875,0.875,0.5,0.125,0.5,0.75,0.75,0.875,0.375,0.375,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,17.2,13.8,6.8,5.0,53.0,6.2,3.4,9.8,1.6,1.2,3.4,5.0,5.0,1.0,1.0,10.6,14.4,3.6,3.8,52.6,4.0,5.0,10.2,1.5,1.8,3.6,FULL,2026-05-19T10:48:38.191170+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-19T10:49:57.087469+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,430.04,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-19T10:49:57.573095+00:00,3.0,76.0,29.0,38.0,61.0,32.0,1.0,7.0,51.0,-1.0,38.0,44.0,45.0,0.0,20.0,2026-05-19T10:49:02.348951+00:00,1.9,3.35,5.06,2.0,1.82,1.42,3.15,2.26,1.75,4.1,1.27,,,,,,12.0,143.0,4303.0,0.5263,0.2985,0.1976,0.5,0.5495,0.7042,0.3175,0.4425,0.5714,0.2439,0.7874,,,,,,2026-05-19T10:49:58.107577+00:00,OK,,,,,,,,,,,,,,0.737623,0.469918,0.801561,0.521571,0.542695,0.308843,0.220346,,,7.0,12.0,0.3618,-0.015,RICH_MIXED,MILD_GOALS,MEDIUM,SIDE_PRICE_CLEANER,MIXED,WEAK,SUPPORTED,SUPPORTED,PREFER_MILDER_TOTAL,PREFER_OVER_1_5,OK,,2026-05-19T10:49:58.645099+00:00,2026-05-19T10:50:39.598722+00:00
2026-05-19,2026-05-19T19:30:00+01:00,1779215400,Premier League,39,2025,1379331,NS,Bournemouth,35,Manchester City,50,England,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2026-05-19T10:47:59.546130+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.75,2.375,1.5,2.25,0.875,0.875,0.75,1.0,0.375,0.5,0.625,0.5,0.75,0.875,0.625,0.75,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,13.8,11.6,4.6,3.0,51.8,5.8,4.4,11.2,2.4,1.4,4.0,5.0,5.0,1.0,1.0,21.6,9.6,6.4,3.2,66.2,10.0,4.0,9.2,1.0,0.6,8.2,FULL,2026-05-19T10:48:30.585857+00:00,6.0,0.0,1.0,1.0,6.0,0.0,FULL,FULL,HIGH,LOW,FULL,2026-05-19T10:49:57.082333+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,460.04,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-19T10:49:57.563471+00:00,6.0,55.0,4.0,36.0,56.0,52.0,0.0,2.0,77.0,43.0,36.0,75.0,32.0,1.0,20.0,2026-05-19T10:49:02.345100+00:00,4.92,4.42,1.74,1.5,2.7,1.15,6.5,1.47,2.85,2.17,1.81,,,,,,12.0,185.0,5913.0,0.2033,0.2262,0.5747,0.6667,0.3704,0.8696,0.1538,0.6803,0.3509,0.4608,0.5525,,,,,,2026-05-19T10:49:58.090747+00:00,OK,,,,,,,,,,,,,,0.897148,0.700554,0.574976,0.686339,0.221103,0.233667,0.594818,,,7.0,12.0,0.3092,0.03,RICH_COHERENT,WIDE_GOALS,HIGH,SIDE_PRICE_CLEANER,SUPPORTED,SUPPORTED,SUPPORTED,WEAK,ALLOW_AGGRESSIVE_TOTAL,OVER_2_5_SUPPORTED,OK,,2026-05-19T10:49:58.631733+00:00,2026-05-19T10:50:39.598722+00:00
2026-05-19,2026-05-19T19:30:00+01:00,1779215400,Jupiler Pro League,144,2025,1536960,NS,KVC Westerlo,261,Standard Liege,733,Belgium,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-19T10:47:59.546135+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.375,1.75,1.625,1.875,1.5,1.0,0.875,0.875,0.375,0.25,0.625,0.75,0.875,0.875,0.625,0.75,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,13.6,11.8,6.0,6.0,48.8,4.0,5.2,9.4,1.8,1.4,3.2,5.0,5.0,1.0,1.0,12.0,15.2,4.0,4.4,43.6,3.6,7.4,7.2,0.8,2.25,3.8,FULL,2026-05-19T10:48:22.591074+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-19T10:49:57.076145+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,460.04,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-19T10:49:57.553671+00:00,3.0,33.0,-4.0,38.0,49.0,53.0,0.5,2.0,34.0,-1.0,38.0,42.0,43.0,1.0,16.0,2026-05-19T10:49:02.342040+00:00,2.18,3.82,3.3,1.62,2.35,1.23,4.8,1.7,2.3,2.72,1.5,,,,,,12.0,173.0,4910.0,0.4587,0.2618,0.303,0.6173,0.4255,0.813,0.2083,0.5882,0.4348,0.3676,0.6667,,,,,,2026-05-19T10:49:58.074430+00:00,OK,,,,,,,,,,,,,,0.838249,0.603932,0.683101,0.642217,0.476007,0.27991,0.314827,,,7.0,12.0,0.2783,0.03,RICH_COHERENT,BROAD_GOALS,HIGH,DRAW_LIVE_FRAGILITY,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,ALLOW_AGGRESSIVE_TOTAL,OVER_2_5_SUPPORTED,OK,,2026-05-19T10:49:58.618953+00:00,2026-05-19T10:50:39.598722+00:00
2026-05-19,2026-05-19T19:30:00+01:00,1779215400,Jupiler Pro League,144,2025,1536961,NS,Genk,742,Antwerp,740,Belgium,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-19T10:47:59.546140+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.25,1.25,1.5,1.375,2.0,1.75,0.75,0.75,0.125,0.125,0.75,0.625,0.875,0.875,0.5,0.625,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,17.6,10.2,5.6,3.0,53.0,7.8,2.2,11.8,1.6,3.0,4.4,5.0,5.0,1.0,1.0,16.6,11.6,6.2,4.6,58.6,7.6,3.0,14.6,2.4,4.4,4.8,FULL,2026-05-19T10:48:22.188400+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-19T10:49:57.073592+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,460.04,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-19T10:49:57.549057+00:00,1.0,34.0,2.0,38.0,55.0,53.0,1.0,5.0,27.0,-7.0,38.0,41.0,48.0,0.0,16.0,2026-05-19T10:49:02.340121+00:00,1.6,4.35,6.0,1.75,2.15,1.22,4.64,1.72,2.29,2.63,1.52,,,,,,12.0,169.0,4791.0,0.625,0.2299,0.1667,0.5714,0.4651,0.8197,0.2155,0.5814,0.4367,0.3802,0.6579,,,,,,2026-05-19T10:49:58.065955+00:00,OK,,,,,,,,,,,,,,0.840575,0.607525,0.679044,0.593818,0.644777,0.2406,0.184782,,,7.0,12.0,0.3216,0.03,RICH_COHERENT,BROAD_GOALS,HIGH,SIDE_PRICE_CLEANER,SUPPORTED,SUPPORTED,SUPPORTED,MIXED,ALLOW_AGGRESSIVE_TOTAL,OVER_2_5_SUPPORTED,OK,,2026-05-19T10:49:58.612225+00:00,2026-05-19T10:50:39.598722+00:00
2026-05-19,2026-05-19T19:30:00+01:00,1779215400,Jupiler Pro League,144,2025,1536962,NS,Charleroi,736,OH Leuven,260,Belgium,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-19T10:47:59.546145+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.25,0.625,1.0,0.75,1.125,1.75,0.625,0.5,0.25,0.25,0.375,0.375,0.875,0.75,0.25,0.375,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,11.8,12.4,4.4,3.8,47.0,3.6,6.6,11.4,1.8,1.25,2.8,5.0,5.0,1.0,1.0,8.6,15.0,3.2,5.4,48.6,4.8,5.6,12.0,2.4,3.0,2.6,FULL,2026-05-19T10:48:19.783756+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-19T10:49:57.070989+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,460.04,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-19T10:49:57.544456+00:00,4.0,30.0,-2.0,38.0,47.0,49.0,0.5,6.0,22.0,-17.0,38.0,40.0,57.0,0.0,16.0,2026-05-19T10:49:02.338248+00:00,1.78,4.2,4.7,1.57,2.38,1.19,5.17,1.68,2.49,2.55,1.6,,,,,,12.0,142.0,4708.0,0.5618,0.2381,0.2128,0.6369,0.4202,0.8403,0.1934,0.5952,0.4016,0.3922,0.625,,,,,,2026-05-19T10:49:58.057908+00:00,OK,,,,,,,,,,,,,,0.859913,0.637533,0.64883,0.650006,0.580435,0.250807,0.235597,,,7.0,12.0,0.3495,0.03,RICH_COHERENT,BROAD_GOALS,HIGH,SIDE_PRICE_CLEANER,SUPPORTED,SUPPORTED,SUPPORTED,MIXED,ALLOW_AGGRESSIVE_TOTAL,OVER_2_5_SUPPORTED,OK,,2026-05-19T10:49:58.605815+00:00,2026-05-19T10:50:39.598722+00:00
2026-05-19,2026-05-19T19:30:00+01:00,1779215400,Première Division,598,2025,1540832,NS,US Bougouba,18183,Mali Coura,27222,Mali,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-19T10:47:59.546149+00:00,COVERAGE_UNKNOWN,,,,,,0,1.0,COVERAGE_NOT_LOADED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-19,2026-05-19T19:30:00+01:00,1779215400,Première Division,598,2025,1540833,NS,Afrique Football Élite,18182,Bakaridjan,12668,Mali,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-19T10:47:59.546183+00:00,COVERAGE_UNKNOWN,,,,,,0,1.0,COVERAGE_NOT_LOADED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-19,2026-05-19T19:30:00+01:00,1779215400,Ligue 2,62,2025,1545224,NS,Rouen,3221,Laval,433,France,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-19T10:47:59.546192+00:00,COVERAGE_RICH,0.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,1.25,1.25,1.0,1.125,1.0,1.5,0.625,0.5,0.375,0.375,0.625,0.375,0.625,0.75,0.5,0.5,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,0.0,0.0,0.0,,,,,,,,,,,,5.0,5.0,1.0,1.0,7.8,14.4,3.4,5.0,38.8,3.6,5.4,12.0,1.8,1.4,2.0,SPARSE,2026-05-19T10:48:26.588202+00:00,,,0.0,0.0,,,NONE,NONE,UNKNOWN,UNKNOWN,NONE,2026-05-19T10:49:57.078768+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,460.04,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-19T10:49:57.558415+00:00,,,,,,,,16.0,32.0,-18.0,34.0,30.0,48.0,1.0,18.0,2026-05-19T10:49:02.343220+00:00,2.32,3.25,3.39,1.87,1.9,1.42,3.1,2.29,1.7,4.33,1.25,,,,,,12.0,100.0,2413.0,0.431,0.3077,0.295,0.5348,0.5263,0.7042,0.3226,0.4367,0.5882,0.2309,0.8,,,,,,2026-05-19T10:49:58.081144+00:00,OK,,,,,,,,,,,,,,0.732266,0.464806,0.81909,0.544015,0.445991,0.319578,0.318325,,,7.0,12.0,0.3462,-0.015,RICH_COHERENT,MILD_GOALS,MEDIUM,DRAW_LIVE_FRAGILITY,SUPPORTED,WEAK,SUPPORTED,SUPPORTED,PREFER_MILDER_TOTAL,PREFER_OVER_1_5,OK,,2026-05-19T10:49:58.624047+00:00,2026-05-19T10:50:39.598722+00:00
2026-05-19,2026-05-19T19:30:00+01:00,1779215400,AFC U17 Asian Cup,1012,2026,1545365,NS,China PR U17,21449,Australia U17,12501,World,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-19T10:47:59.546197+00:00,COVERAGE_UNKNOWN,,,,,,0,1.0,COVERAGE_NOT_LOADED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-19,2026-05-19T20:00:00+01:00,1779217200,Ligue 1,186,2025,1513481,NS,USM Alger,910,Olympique Akbou,10780,Algeria,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-19T10:47:59.546202+00:00,COVERAGE_UNKNOWN,,,,,,0,1.0,COVERAGE_NOT_LOADED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-19,2026-05-19T20:00:00+01:00,1779217200,CAF Cup of Nations - U17,973,2026,1544901,NS,Morocco U17,21302,Egypt U17,25819,World,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-19T10:47:59.546207+00:00,COVERAGE_UNKNOWN,,,,,,0,1.0,COVERAGE_NOT_LOADED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-19,2026-05-19T20:00:00+01:00,1779217200,CAF Cup of Nations - U17,973,2026,1544913,NS,Tunisia U17,22930,Ethiopia U17,27740,World,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-19T10:47:59.546212+00:00,COVERAGE_UNKNOWN,,,,,,0,1.0,COVERAGE_NOT_LOADED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-19,2026-05-19T20:15:00+01:00,1779218100,Premier League,39,2025,1379333,NS,Chelsea,49,Tottenham,47,England,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,16.0,2026-05-19T10:47:59.546217+00:00,COVERAGE_RICH,1.0,1.0,1.0,1.0,1.0,1,0.95,OFFICIAL_API,,8.0,8.0,0.75,1.375,1.125,1.375,2.0,1.875,0.375,0.75,0.25,0.125,0.125,0.625,0.75,0.75,0.75,0.625,2025.0,2025.0,TEAM_LAST_8_ALL_COMPETITIONS,5.0,5.0,1.0,1.0,13.6,10.6,2.6,5.0,53.0,6.4,4.8,10.8,2.2,3.0,6.6,5.0,5.0,1.0,1.0,11.8,9.4,4.6,3.0,52.6,7.2,4.0,13.6,3.2,2.5,2.8,FULL,2026-05-19T10:48:34.190926+00:00,10.0,16.0,1.0,1.0,8.8,15.2,FULL,FULL,HIGH,HIGH,FULL,2026-05-19T10:49:57.085068+00:00,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,90.0,505.04,0.0,0.0,NONE,NONE,NONE,INACTIVE,2026-05-19T10:49:57.568226+00:00,10.0,49.0,6.0,36.0,55.0,49.0,0.0,17.0,38.0,-9.0,36.0,46.0,55.0,1.0,20.0,2026-05-19T10:49:02.347088+00:00,2.05,3.84,4.04,1.65,2.32,1.24,4.7,1.78,2.23,2.82,1.48,,,,,,12.0,185.0,5883.0,0.4878,0.2604,0.2475,0.6061,0.431,0.8065,0.2128,0.5618,0.4484,0.3546,0.6757,,,,,,2026-05-19T10:49:58.099916+00:00,OK,,,,,,,,,,,,,,0.829415,0.583079,0.68924,0.623033,0.519041,0.271072,0.260697,,,7.0,12.0,0.3205,0.03,RICH_COHERENT,BROAD_GOALS,HIGH,DRAW_LIVE_FRAGILITY,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,ALLOW_AGGRESSIVE_TOTAL,OVER_2_5_SUPPORTED,OK,,2026-05-19T10:49:58.639066+00:00,2026-05-19T10:50:39.598722+00:00
2026-05-19,2026-05-19T21:00:00+01:00,1779220800,Copa Colombia,241,2026,1544279,PST,Independiente Medellin,1128,Cucuta,1470,Colombia,PST,Match Postponed,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-19T10:47:59.546222+00:00,COVERAGE_UNKNOWN,,,,,,0,1.0,COVERAGE_NOT_LOADED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-19,2026-05-19T21:00:00+01:00,1779220800,Division Intermedia,251,2026,1544830,NS,Independiente F.b.c.,1186,Deportivo Santani,1189,Paraguay,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-19T10:47:59.546226+00:00,COVERAGE_UNKNOWN,,,,,,0,1.0,COVERAGE_NOT_LOADED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-19,2026-05-19T22:00:00+01:00,1779224400,Brasileiro U20 A,740,2026,1526146,NS,Corinthians U20,12998,Palmeiras U20,12968,Brazil,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-19T10:47:59.546231+00:00,COVERAGE_UNKNOWN,,,,,,0,1.0,COVERAGE_NOT_LOADED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-19,2026-05-19T22:00:00+01:00,1779224400,USL W League,1117,2026,1532409,NS,Charlotte Eagles II W,23897,Port City NC W,23829,USA,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2026-05-19T10:47:59.546236+00:00,COVERAGE_UNKNOWN,,,,,,0,1.0,COVERAGE_NOT_LOADED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
